timestamp,cpu_percent,memory_usage,memory_limit,memory_percent
1763040033623,288.97,0.383GiB,7.619GiB,5.03
1763040035637,95.44,0.381GiB,7.619GiB,5.01
1763040037766,264.12,0.382GiB,7.619GiB,5.01
1763040039993,234.92,0.384GiB,7.619GiB,5.04
1763040042119,258.86,0.381GiB,7.619GiB,5.0
1763040044130,263.38,0.381GiB,7.619GiB,5.01
1763040046151,188.99,0.379GiB,7.619GiB,4.98
1763040048283,263.82,0.382GiB,7.619GiB,5.01
1763040050408,219.07,0.382GiB,7.619GiB,5.01
1763040052529,292.23,0.382GiB,7.619GiB,5.02
1763040054539,223.96,0.380GiB,7.619GiB,4.99
1763040056662,239.08,0.381GiB,7.619GiB,5.0
1763040058681,253.92,0.381GiB,7.619GiB,5.0
1763040060704,246.97,0.381GiB,7.619GiB,5.0
1763040062730,259.53,0.381GiB,7.619GiB,5.01
1763040064957,211.71,0.381GiB,7.619GiB,5.01
1763040066981,235.68,0.382GiB,7.619GiB,5.02
1763040069147,220.38,0.382GiB,7.619GiB,5.01
1763040071329,255.04,0.381GiB,7.619GiB,5.0
1763040073456,275.27,0.381GiB,7.619GiB,5.01
1763040075467,249.85,0.381GiB,7.619GiB,4.99
1763040077589,219.86,0.381GiB,7.619GiB,5.0
1763040079601,234.95,0.381GiB,7.619GiB,5.0
1763040081727,256.11,0.382GiB,7.619GiB,5.01
1763040083890,239.97,0.382GiB,7.619GiB,5.01
1763040085911,239.43,0.381GiB,7.619GiB,5.0
1763040130833,298.35,0.381GiB,7.619GiB,5.0
1763040132853,226.59,0.381GiB,7.619GiB,5.0
1763040134884,241.98,0.382GiB,7.619GiB,5.01
1763040136888,240.11,0.383GiB,7.619GiB,5.02
1763040139135,238.75,0.381GiB,7.619GiB,5.01
1763040141155,270.84,0.381GiB,7.619GiB,5.0
1763040143312,195.97,0.382GiB,7.619GiB,5.01
1763040145430,222.23,0.381GiB,7.619GiB,5.0
1763040147548,231.68,0.383GiB,7.619GiB,5.03
1763040149570,235.08,0.382GiB,7.619GiB,5.01
1763040151696,276.9,0.382GiB,7.619GiB,5.01
1763040153824,183.13,0.381GiB,7.619GiB,5.0
1763040155842,248.03,0.382GiB,7.619GiB,5.02
1763040157964,228.93,0.382GiB,7.619GiB,5.02
1763040160096,248.07,0.382GiB,7.619GiB,5.01
1763040162102,235.51,0.382GiB,7.619GiB,5.01
1763040164121,256.06,0.382GiB,7.619GiB,5.01
1763040166136,294.21,0.382GiB,7.619GiB,5.01
1763040168147,223.25,0.381GiB,7.619GiB,5.0
1763040170382,234.22,0.381GiB,7.619GiB,5.0
1763040172395,250.68,0.382GiB,7.619GiB,5.01
1763040174609,210.52,0.382GiB,7.619GiB,5.01
1763040176785,264.75,0.383GiB,7.619GiB,5.02
1763040178859,235.27,0.382GiB,7.619GiB,5.01
1763040180879,230.82,0.382GiB,7.619GiB,5.01
1763040182942,243.37,0.382GiB,7.619GiB,5.01
1763040185077,200.82,0.381GiB,7.619GiB,5.0
1763040187083,262.8,0.382GiB,7.619GiB,5.01
1763040189199,230.31,0.382GiB,7.619GiB,5.01
1763040191304,247.09,0.382GiB,7.619GiB,5.01
1763040193335,210.0,0.382GiB,7.619GiB,5.01
1763040195348,245.5,0.382GiB,7.619GiB,5.01
1763040197360,258.75,0.382GiB,7.619GiB,5.02
1763040199480,221.38,0.382GiB,7.619GiB,5.02
1763040201712,236.43,0.381GiB,7.619GiB,5.01
1763040203826,237.29,0.383GiB,7.619GiB,5.02
1763040205954,247.4,0.383GiB,7.619GiB,5.02
1763040208185,199.34,0.382GiB,7.619GiB,5.02
1763040210200,220.69,0.382GiB,7.619GiB,5.02
1763040212212,256.3,0.383GiB,7.619GiB,5.03
