timestamp,cpu_percent,memory_usage,memory_limit,memory_percent
1763189685077,201.44,6.141MiB,15.41GiB,0.04
1763189687079,203.43,7.18MiB,15.41GiB,0.05
1763189689082,200.46,7.824MiB,15.41GiB,0.05
1763189691086,202.74,7.844MiB,15.41GiB,0.05
1763189693090,200.76,7.996MiB,15.41GiB,0.05
1763189695096,201.17,8.215MiB,15.41GiB,0.05
1763189697102,203.35,8.398MiB,15.41GiB,0.05
1763189699103,205.60,8.473MiB,15.41GiB,0.05
1763189701108,206.70,8.59MiB,15.41GiB,0.05
1763189703114,206.14,8.625MiB,15.41GiB,0.05
1763189705117,206.04,8.578MiB,15.41GiB,0.05
1763189707120,205.21,8.625MiB,15.41GiB,0.05
1763189709124,201.85,8.633MiB,15.41GiB,0.05
1763189711128,203.28,8.66MiB,15.41GiB,0.05
1763189713137,199.02,8.797MiB,15.41GiB,0.06
1763189715147,203.75,8.789MiB,15.41GiB,0.06
1763189717151,202.89,8.68MiB,15.41GiB,0.06
1763189719153,201.27,8.777MiB,15.41GiB,0.06
1763189721158,203.12,8.785MiB,15.41GiB,0.06
1763189723162,200.36,8.922MiB,15.41GiB,0.06
1763189725166,203.64,8.984MiB,15.41GiB,0.06
1763189727169,204.35,9.027MiB,15.41GiB,0.06
1763189729172,202.95,8.793MiB,15.41GiB,0.06
1763189731174,203.06,8.887MiB,15.41GiB,0.06
1763189733179,203.97,8.914MiB,15.41GiB,0.06
1763189735182,202.25,8.914MiB,15.41GiB,0.06
1763189737185,200.82,9.227MiB,15.41GiB,0.06
1763189739189,200.46,8.977MiB,15.41GiB,0.06
1763189741191,200.25,8.988MiB,15.41GiB,0.06
1763189743198,203.49,8.977MiB,15.41GiB,0.06
1763189745204,204.32,8.988MiB,15.41GiB,0.06
1763189747207,207.28,9.004MiB,15.41GiB,0.06
1763189749211,203.64,9.074MiB,15.41GiB,0.06
1763189751219,204.81,9.355MiB,15.41GiB,0.06
1763189753220,205.27,9.109MiB,15.41GiB,0.06
1763189755224,208.09,9.105MiB,15.41GiB,0.06
1763189757229,202.33,9.359MiB,15.41GiB,0.06
1763189759232,202.46,9.113MiB,15.41GiB,0.06
1763189761235,204.19,9.113MiB,15.41GiB,0.06
1763189763239,204.10,9.145MiB,15.41GiB,0.06
1763189765242,202.33,9.148MiB,15.41GiB,0.06
1763189767244,202.67,9.148MiB,15.41GiB,0.06
1763189769248,201.25,9.16MiB,15.41GiB,0.06
1763189771252,202.36,9.152MiB,15.41GiB,0.06
1763189773254,203.67,9.168MiB,15.41GiB,0.06
1763189775258,202.81,9.105MiB,15.41GiB,0.06
1763189777262,203.09,9.125MiB,15.41GiB,0.06
1763189779265,204.27,9.156MiB,15.41GiB,0.06
1763189781268,203.26,9.16MiB,15.41GiB,0.06
1763189783273,202.34,9.16MiB,15.41GiB,0.06
1763189785275,202.24,9.16MiB,15.41GiB,0.06
1763189787278,201.51,9.164MiB,15.41GiB,0.06
1763189789287,203.70,9.152MiB,15.41GiB,0.06
1763189791287,203.29,9.156MiB,15.41GiB,0.06
1763189793289,203.98,9.16MiB,15.41GiB,0.06
1763189795294,202.65,9.18MiB,15.41GiB,0.06
1763189797298,200.78,9.227MiB,15.41GiB,0.06
1763189799303,201.83,9.336MiB,15.41GiB,0.06
1763189801307,202.47,9.426MiB,15.41GiB,0.06
1763189803313,202.91,9.164MiB,15.41GiB,0.06
1763189805320,203.02,9.219MiB,15.41GiB,0.06
1763189807321,200.44,9.102MiB,15.41GiB,0.06
1763189809325,201.11,9.102MiB,15.41GiB,0.06
1763189811329,200.81,9.094MiB,15.41GiB,0.06
1763189813332,200.02,9.152MiB,15.41GiB,0.06
1763189815335,200.70,9.398MiB,15.41GiB,0.06
1763189817338,199.42,9.258MiB,15.41GiB,0.06
1763189819341,201.55,9.582MiB,15.41GiB,0.06
1763189821345,201.80,9.629MiB,15.41GiB,0.06
1763189823349,202.55,9.18MiB,15.41GiB,0.06
1763189825353,201.30,9.219MiB,15.41GiB,0.06
1763189827355,203.22,9.238MiB,15.41GiB,0.06
1763189829360,202.82,9.293MiB,15.41GiB,0.06
1763189831363,203.34,9.117MiB,15.41GiB,0.06
1763189833367,199.85,9.156MiB,15.41GiB,0.06
1763189835370,201.03,9.156MiB,15.41GiB,0.06
1763189837373,203.13,9.152MiB,15.41GiB,0.06
1763189839376,202.13,9.156MiB,15.41GiB,0.06
1763189841380,203.58,9.547MiB,15.41GiB,0.06
