timestamp,cpu_percent,memory_usage,memory_limit,memory_percent
1763189685077,201.44,0.006GiB,15.410GiB,0.04
1763189687079,203.43,0.007GiB,15.410GiB,0.05
1763189689082,200.46,0.008GiB,15.410GiB,0.05
1763189691086,202.74,0.008GiB,15.410GiB,0.05
1763189693090,200.76,0.008GiB,15.410GiB,0.05
1763189695096,201.17,0.008GiB,15.410GiB,0.05
1763189697102,203.35,0.008GiB,15.410GiB,0.05
1763189699103,205.6,0.008GiB,15.410GiB,0.05
1763189701108,206.7,0.008GiB,15.410GiB,0.05
1763189703114,206.14,0.008GiB,15.410GiB,0.05
1763189705117,206.04,0.008GiB,15.410GiB,0.05
1763189707120,205.21,0.008GiB,15.410GiB,0.05
1763189709124,201.85,0.008GiB,15.410GiB,0.05
1763189711128,203.28,0.008GiB,15.410GiB,0.05
1763189713137,199.02,0.009GiB,15.410GiB,0.06
1763189715147,203.75,0.009GiB,15.410GiB,0.06
1763189717151,202.89,0.008GiB,15.410GiB,0.06
1763189719153,201.27,0.009GiB,15.410GiB,0.06
1763189721158,203.12,0.009GiB,15.410GiB,0.06
1763189723162,200.36,0.009GiB,15.410GiB,0.06
1763189725166,203.64,0.009GiB,15.410GiB,0.06
1763189727169,204.35,0.009GiB,15.410GiB,0.06
1763189729172,202.95,0.009GiB,15.410GiB,0.06
1763189731174,203.06,0.009GiB,15.410GiB,0.06
1763189733179,203.97,0.009GiB,15.410GiB,0.06
1763189735182,202.25,0.009GiB,15.410GiB,0.06
1763189737185,200.82,0.009GiB,15.410GiB,0.06
1763189739189,200.46,0.009GiB,15.410GiB,0.06
1763189741191,200.25,0.009GiB,15.410GiB,0.06
1763189743198,203.49,0.009GiB,15.410GiB,0.06
1763189745204,204.32,0.009GiB,15.410GiB,0.06
1763189747207,207.28,0.009GiB,15.410GiB,0.06
1763189749211,203.64,0.009GiB,15.410GiB,0.06
1763189751219,204.81,0.009GiB,15.410GiB,0.06
1763189753220,205.27,0.009GiB,15.410GiB,0.06
1763189755224,208.09,0.009GiB,15.410GiB,0.06
1763189757229,202.33,0.009GiB,15.410GiB,0.06
1763189759232,202.46,0.009GiB,15.410GiB,0.06
1763189761235,204.19,0.009GiB,15.410GiB,0.06
1763189763239,204.1,0.009GiB,15.410GiB,0.06
1763189765242,202.33,0.009GiB,15.410GiB,0.06
1763189767244,202.67,0.009GiB,15.410GiB,0.06
1763189769248,201.25,0.009GiB,15.410GiB,0.06
1763189771252,202.36,0.009GiB,15.410GiB,0.06
1763189773254,203.67,0.009GiB,15.410GiB,0.06
1763189775258,202.81,0.009GiB,15.410GiB,0.06
1763189777262,203.09,0.009GiB,15.410GiB,0.06
1763189779265,204.27,0.009GiB,15.410GiB,0.06
1763189781268,203.26,0.009GiB,15.410GiB,0.06
1763189783273,202.34,0.009GiB,15.410GiB,0.06
1763189785275,202.24,0.009GiB,15.410GiB,0.06
1763189787278,201.51,0.009GiB,15.410GiB,0.06
1763189789287,203.7,0.009GiB,15.410GiB,0.06
1763189791287,203.29,0.009GiB,15.410GiB,0.06
1763189793289,203.98,0.009GiB,15.410GiB,0.06
1763189795294,202.65,0.009GiB,15.410GiB,0.06
1763189797298,200.78,0.009GiB,15.410GiB,0.06
1763189799303,201.83,0.009GiB,15.410GiB,0.06
1763189801307,202.47,0.009GiB,15.410GiB,0.06
1763189803313,202.91,0.009GiB,15.410GiB,0.06
1763189805320,203.02,0.009GiB,15.410GiB,0.06
1763189807321,200.44,0.009GiB,15.410GiB,0.06
1763189809325,201.11,0.009GiB,15.410GiB,0.06
1763189811329,200.81,0.009GiB,15.410GiB,0.06
1763189813332,200.02,0.009GiB,15.410GiB,0.06
1763189815335,200.7,0.009GiB,15.410GiB,0.06
1763189817338,199.42,0.009GiB,15.410GiB,0.06
1763189819341,201.55,0.009GiB,15.410GiB,0.06
1763189821345,201.8,0.009GiB,15.410GiB,0.06
1763189823349,202.55,0.009GiB,15.410GiB,0.06
1763189825353,201.3,0.009GiB,15.410GiB,0.06
1763189827355,203.22,0.009GiB,15.410GiB,0.06
1763189829360,202.82,0.009GiB,15.410GiB,0.06
1763189831363,203.34,0.009GiB,15.410GiB,0.06
1763189833367,199.85,0.009GiB,15.410GiB,0.06
1763189835370,201.03,0.009GiB,15.410GiB,0.06
1763189837373,203.13,0.009GiB,15.410GiB,0.06
1763189839376,202.13,0.009GiB,15.410GiB,0.06
1763189841380,203.58,0.009GiB,15.410GiB,0.06
1763189843385,203.42,0.009GiB,15.410GiB,0.06
1763189845388,203.55,0.009GiB,15.410GiB,0.06
1763189847392,201.27,0.009GiB,15.410GiB,0.06
1763189849400,202.5,0.009GiB,15.410GiB,0.06
1763189851406,203.15,0.009GiB,15.410GiB,0.06
1763189853409,204.69,0.009GiB,15.410GiB,0.06
1763189855410,204.78,0.009GiB,15.410GiB,0.06
1763189857415,205.49,0.009GiB,15.410GiB,0.06
1763189859420,206.01,0.009GiB,15.410GiB,0.06
1763189861422,204.46,0.009GiB,15.410GiB,0.06
1763189863425,203.41,0.009GiB,15.410GiB,0.06
1763189865430,204.46,0.009GiB,15.410GiB,0.06
1763189867434,202.88,0.009GiB,15.410GiB,0.06
1763189869436,203.57,0.009GiB,15.410GiB,0.06
1763189871439,203.51,0.009GiB,15.410GiB,0.06
1763189873442,204.55,0.009GiB,15.410GiB,0.06
1763189875446,202.3,0.009GiB,15.410GiB,0.06
1763189877450,199.94,0.009GiB,15.410GiB,0.06
1763189879452,202.95,0.009GiB,15.410GiB,0.06
1763189881455,203.34,0.009GiB,15.410GiB,0.06
1763189883459,203.34,0.009GiB,15.410GiB,0.06
1763189885462,203.27,0.009GiB,15.410GiB,0.06
1763189887465,203.45,0.009GiB,15.410GiB,0.06
1763189889467,203.59,0.009GiB,15.410GiB,0.06
